action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,pIC50
,,391560,[],CHEMBL653332,Compound was tested for its inhibitory activity against human beta-Secretase (BACE),B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)C[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](N)CCC(=O)O)C(C)C)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,,,CHEMBL1144938,J Med Chem,2003,"{'bei': '9.74', 'le': '0.19', 'lle': '10.44', 'sei': '2.31'}",CHEMBL78946,,CHEMBL78946,8.70,0,http://www.openphacts.org/units/Nanomolar,274693,=,1,1,=,,IC50,nM,,2.0,CHEMBL4822,Homo sapiens,Beta-secretase 1,9606,,,IC50,uM,UO_0000065,,0.002,8.698970004336019
,,413277,[],CHEMBL653332,Compound was tested for its inhibitory activity against human beta-Secretase (BACE),B,,,BAO_0000190,BAO_0000357,single protein format,CSCC[C@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(=O)N[C@@H](CC(C)C)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccccc1)C(C)C,,,CHEMBL1144938,J Med Chem,2003,"{'bei': '12.05', 'le': '0.24', 'lle': '4.55', 'sei': '4.97'}",CHEMBL290001,,CHEMBL290001,8.70,0,http://www.openphacts.org/units/Nanomolar,274692,=,1,1,=,,IC50,nM,,2.0,CHEMBL4822,Homo sapiens,Beta-secretase 1,9606,,,IC50,uM,UO_0000065,,0.002,8.698970004336019
,,400254,[],CHEMBL653332,Compound was tested for its inhibitory activity against human beta-Secretase (BACE),B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)[C@H](NC(=O)C[C@H](O)[C@H](Cc1cc(F)cc(F)c1)NC(=O)C(O)c1ccccc1-c1ccccc1)C(=O)Nc1cc(C(=O)O)cc(C(=O)O)c1,,,CHEMBL1144938,J Med Chem,2003,"{'bei': '10.73', 'le': '0.20', 'lle': '3.38', 'sei': '3.80'}",CHEMBL143239,,CHEMBL143239,7.70,0,http://www.openphacts.org/units/Nanomolar,274694,=,1,1,=,,IC50,nM,,20.0,CHEMBL4822,Homo sapiens,Beta-secretase 1,9606,,,IC50,uM,UO_0000065,,0.02,7.698970004336019
,,765987,[],CHEMBL653496,"Inhibition of human brain beta-secretase, using MBPC125Swe (maltose-binding-protein C-125 Swedish) assay",B,,,BAO_0000190,BAO_0000219,cell-based format,CSCC[C@H](NC(=O)[C@@H](NC(C)=O)C(C)C)C(=O)N[C@@H](CC(C)C)C(O)C[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(C)C,,,CHEMBL1135590,J Med Chem,2002,"{'bei': '9.05', 'le': '0.18', 'lle': '6.09', 'sei': '2.86'}",CHEMBL90043,,CHEMBL90043,7.70,0,http://www.openphacts.org/units/Nanomolar,160151,=,1,1,=,,IC50,nM,,20.0,CHEMBL4822,Homo sapiens,Beta-secretase 1,9606,,,IC50,uM,UO_0000065,,0.02,7.698970004336019
,,402256,[],CHEMBL653512,Inhibition of human Beta-secretase 1,B,,,BAO_0000190,BAO_0000357,single protein format,CCC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(C)=O)[C@@H](O)CC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CC(=O)N[C@H](C(=O)NCc1ccc(C(=O)O)cc1)C(C)C,,,CHEMBL1147464,Bioorg Med Chem Lett,2004,"{'bei': '10.00', 'le': '0.19', 'lle': '4.84', 'sei': '3.44'}",CHEMBL332948,,CHEMBL332948,7.68,0,http://www.openphacts.org/units/Nanomolar,219977,=,1,1,=,,IC50,nM,,21.0,CHEMBL4822,Homo sapiens,Beta-secretase 1,9606,,,IC50,uM,UO_0000065,,0.021,7.6777807052660805
,,547401,[],CHEMBL653510,In vitro inhibition of Beta-secretase-1 in HEK293 (Human Embryonic Kidney) cell line.,B,,,BAO_0000190,BAO_0000219,cell-based format,CSCC[C@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccccc1)C(C)C,,,CHEMBL1146698,Bioorg Med Chem Lett,2004,"{'bei': '9.99', 'le': '0.19', 'lle': '3.20', 'sei': '4.32'}",CHEMBL312277,,CHEMBL312277,7.55,0,http://www.openphacts.org/units/Nanomolar,144092,=,1,1,=,,IC50,nM,,28.0,CHEMBL4822,Homo sapiens,Beta-secretase 1,9606,,,IC50,nM,UO_0000065,,28.0,7.552841968657781
,,408358,[],CHEMBL653332,Compound was tested for its inhibitory activity against human beta-Secretase (BACE),B,,,BAO_0000190,BAO_0000357,single protein format,CCC(O)[C@H](NC(=O)[C@@H](N)CCCN)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(C)C)C(C)C)[C@@H](C)CC,,,CHEMBL1144938,J Med Chem,2003,"{'bei': '4.51', 'le': None, 'lle': None, 'sei': None}",CHEMBL2370886,,CHEMBL2370886,7.52,0,http://www.openphacts.org/units/Nanomolar,274689,=,1,1,=,,IC50,nM,,30.0,CHEMBL4822,Homo sapiens,Beta-secretase 1,9606,,,IC50,uM,UO_0000065,,0.03,7.522878745280337
,,775060,[],CHEMBL653496,"Inhibition of human brain beta-secretase, using MBPC125Swe (maltose-binding-protein C-125 Swedish) assay",B,,,BAO_0000190,BAO_0000219,cell-based format,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](NC(=O)[C@@H](N)CCCCN)[C@@H](C)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(C)C)C(C)C,,,CHEMBL1135590,J Med Chem,2002,"{'bei': '4.55', 'le': None, 'lle': None, 'sei': None}",CHEMBL412768,,CHEMBL412768,7.52,0,http://www.openphacts.org/units/Nanomolar,160181,=,1,1,=,,IC50,nM,,30.0,CHEMBL4822,Homo sapiens,Beta-secretase 1,9606,,,IC50,uM,UO_0000065,,0.03,7.522878745280337
,,497258,[],CHEMBL653509,In vitro inhibitory activity against Beta-secretase 1 in human HEK293 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CC[C@H](C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,,,CHEMBL1146699,Bioorg Med Chem Lett,2004,"{'bei': '12.19', 'le': '0.23', 'lle': '5.60', 'sei': '4.39'}",CHEMBL1790644,,CHEMBL1790644,7.46,0,http://www.openphacts.org/units/Nanomolar,149776,=,1,1,=,,IC50,nM,,35.0,CHEMBL4822,Homo sapiens,Beta-secretase 1,9606,,,IC50,uM,UO_0000065,,0.035,7.455931955649724
,,479513,[],CHEMBL653509,In vitro inhibitory activity against Beta-secretase 1 in human HEK293 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccccc1)C(C)C,,,CHEMBL1146699,Bioorg Med Chem Lett,2004,"{'bei': '12.45', 'le': '0.24', 'lle': '5.35', 'sei': '4.74'}",CHEMBL316181,,CHEMBL316181,7.43,0,http://www.openphacts.org/units/Nanomolar,149775,=,1,1,=,,IC50,nM,,37.0,CHEMBL4822,Homo sapiens,Beta-secretase 1,9606,,,IC50,uM,UO_0000065,,0.037,7.431798275933005
