Ligand_ID,Filename,Docking_Score
ligand_31,ligand_31.dlg,5.37
ligand_9,ligand_9.dlg,5.37
ligand_18,ligand_18.dlg,5.67
ligand_2,ligand_2.dlg,5.67
ligand_8,ligand_8.dlg,5.67
ligand_24,ligand_24.dlg,5.97
ligand_11,ligand_11.dlg,6.26
ligand_20,ligand_20.dlg,6.26
ligand_22,ligand_22.dlg,6.26
ligand_26,ligand_26.dlg,6.26
ligand_49,ligand_49.dlg,6.26
ligand_13,ligand_13.dlg,6.26
ligand_12,ligand_12.dlg,6.26
ligand_47,ligand_47.dlg,6.56
ligand_25,ligand_25.dlg,6.56
ligand_23,ligand_23.dlg,6.86
ligand_1,ligand_1.dlg,6.86
ligand_5,ligand_5.dlg,6.86
ligand_44,ligand_44.dlg,6.86
ligand_19,ligand_19.dlg,7.16
ligand_21,ligand_21.dlg,7.46
ligand_30,ligand_30.dlg,7.46
ligand_29,ligand_29.dlg,7.46
ligand_17,ligand_17.dlg,7.46
ligand_14,ligand_14.dlg,7.46
ligand_4,ligand_4.dlg,7.76
ligand_32,ligand_32.dlg,8.05
ligand_41,ligand_41.dlg,8.65
ligand_3,ligand_3.dlg,8.95
ligand_27,ligand_27.dlg,9.55
ligand_0,ligand_0.dlg,10.14
ligand_ref,ligand_ref.dlg,10.14
ligand_15,ligand_15.dlg,10.74
ligand_10,ligand_10.dlg,10.74
ligand_16,ligand_16.dlg,10.74
